% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
7.962	1	1	2	1.76517e+06	0
8.001	1	2	1	1.76517e+06	0
8.002	1	1	2	1.76517e+06	0
8.041	1	2	1	1.76517e+06	0
8.042	1	1	2	1.76517e+06	0
8.081	1	2	1	1.76517e+06	0
8.082	1	1	2	1.76517e+06	0
8.121	1	2	1	1.76517e+06	0
8.122	1	1	2	1.76517e+06	0
8.161	1	2	1	1.76517e+06	0
8.162	1	1	2	1.76517e+06	0
8.201	1	2	1	1.76517e+06	0
8.202	1	1	2	1.76517e+06	0
8.241	1	2	1	1.76517e+06	0
8.242	1	1	2	1.76517e+06	0
8.281	1	2	1	1.76517e+06	0
8.282	1	1	2	1.76517e+06	0
8.321	1	2	1	1.76517e+06	0
8.322	1	1	2	1.76517e+06	0
8.361	1	2	1	1.76517e+06	0
8.362	1	1	2	1.76517e+06	0
8.401	1	2	1	1.76517e+06	0
8.402	1	1	2	1.76517e+06	0
8.441	1	2	1	1.76517e+06	0
8.442	1	1	2	1.76517e+06	0
8.481	1	2	1	1.76517e+06	0
8.482	1	1	2	1.76517e+06	0
8.521	1	2	1	1.76517e+06	0
8.522	1	1	2	1.76517e+06	0
8.561	1	2	1	1.76517e+06	0
8.562	1	1	2	1.76517e+06	0
8.601	1	2	1	1.76517e+06	0
8.602	1	1	2	1.76517e+06	0
8.641	1	2	1	1.76517e+06	0
8.642	1	1	2	1.76517e+06	0
8.681	1	2	1	1.76517e+06	0
8.682	1	1	2	1.76517e+06	0
8.721	1	2	1	1.76517e+06	0
8.722	1	1	2	1.76517e+06	0
8.761	1	2	1	1.76517e+06	0
8.762	1	1	2	1.76517e+06	0
8.801	1	2	1	1.76517e+06	0
8.802	1	1	2	1.76517e+06	0
8.841	1	2	1	1.76517e+06	0
8.842	1	1	2	1.76517e+06	0
8.881	1	2	1	1.76517e+06	0
8.882	1	1	2	1.76517e+06	0
8.921	1	2	1	1.76517e+06	0
8.922	1	1	2	1.76517e+06	0
8.961	1	2	1	1.76517e+06	0
8.962	1	1	2	1.76517e+06	0
9.001	1	2	1	1.76517e+06	0
9.002	1	1	2	1.76517e+06	0
9.041	1	2	1	1.76517e+06	0
9.042	1	1	2	1.76517e+06	0
9.081	1	2	1	1.76517e+06	0
9.082	1	1	2	1.76517e+06	0
9.121	1	2	1	1.76517e+06	0
9.122	1	1	2	1.76517e+06	0
9.161	1	2	1	1.76517e+06	0
9.162	1	1	2	1.76517e+06	0
9.201	1	2	1	1.76517e+06	0
9.202	1	1	2	1.76517e+06	0
9.241	1	2	1	1.76517e+06	0
9.242	1	1	2	1.76517e+06	0
9.281	1	2	1	1.76517e+06	0
9.282	1	1	2	1.76517e+06	0
9.321	1	2	1	1.76517e+06	0
9.322	1	1	2	1.76517e+06	0
9.361	1	2	1	1.76517e+06	0
9.362	1	1	2	1.76517e+06	0
9.401	1	2	1	1.76517e+06	0
9.402	1	1	2	1.76517e+06	0
9.441	1	2	1	1.76517e+06	0
9.442	1	1	2	1.76517e+06	0
9.481	1	2	1	1.76517e+06	0
9.482	1	1	2	1.76517e+06	0
9.521	1	2	1	1.76517e+06	0
9.522	1	1	2	1.76517e+06	0
9.561	1	2	1	1.76517e+06	0
9.562	1	1	2	1.76517e+06	0
9.601	1	2	1	1.76517e+06	0
9.602	1	1	2	1.76517e+06	0
9.641	1	2	1	1.76517e+06	0
9.642	1	1	2	1.76517e+06	0
9.681	1	2	1	1.76517e+06	0
9.682	1	1	2	1.76517e+06	0
9.721	1	2	1	1.76517e+06	0
9.722	1	1	2	1.76517e+06	0
9.761	1	2	1	1.76517e+06	0
9.762	1	1	2	1.76517e+06	0
9.801	1	2	1	1.76517e+06	0
9.802	1	1	2	1.76517e+06	0
9.841	1	2	1	1.76517e+06	0
9.842	1	1	2	1.76517e+06	0
9.881	1	2	1	1.76517e+06	0
9.882	1	1	2	1.76517e+06	0
9.921	1	2	1	1.76517e+06	0
9.922	1	1	2	1.76517e+06	0
9.961	1	2	1	1.76517e+06	0
9.962	1	1	2	1.76517e+06	0
